title,speaker,nviews,topics
How schools kill creativity,Ken Robinson,"29,686,464",TED Conference
Your body language shapes who you are,Amy Cuddy,"21,684,020",Body language
How great leaders inspire action,Simon Sinek,"19,920,268",TEDx
The power of vulnerability,Bren Brown,"17,495,454",TEDx
My stroke of insight,Jill Bolte Taylor,"16,141,538",TED Conference
10 things you didn't know about orgasm,Mary Roach,"13,882,980",TED Conference
The thrilling potential of SixthSense technology,Pranav Mistry,"13,177,628",Demo
Why we do what we do,Tony Robbins,"12,974,557",TED Conference
The puzzle of motivation,Dan Pink,"11,961,631",Brain
Underwater astonishments,David Gallo,"11,318,161",TED Conference
The surprising science of happiness,Dan Gilbert,"10,076,224",TED Conference
The power of introverts,Susan Cain,"9,955,929",TED Conference
How to spot a liar,Pamela Meyer,"9,181,330",Culture
Your elusive creative genius,Elizabeth Gilbert,"9,158,650",TED Conference
The best stats you've ever seen,Hans Rosling,"9,040,375",Africa
The happy secret to better work,Shawn Achor,"8,996,065",TEDx
Meet the SixthSense interaction,Pattie Maes + Pranav Mistry,"8,772,086",TED Conference
"Looks aren't everything. Believe me, I'm a model.",Cameron Russell,"8,806,392",TEDx
How I held my breath for 17 minutes,David Blaine,"8,624,813",Biology
Brain magic,Keith Barry,"8,166,410",TED Conference
The danger of a single story,Chimamanda Ngozi Adichie,"7,839,971",Africa
If I should have a daughter ...,Sarah Kay,"7,138,591",TED Conference
How to make stress your friend,Kelly McGonigal,"6,991,802",Body language
The paradox of choice,Barry Schwartz,"6,908,013",Business
8 secrets of success,Richard St. John,"6,864,659",TED Conference
The art of misdirection,Apollo Robbins,"6,821,545",Crime
Why 30 is not the new 20,Meg Jay,"6,775,090",TED Conference
"A performance of ""Mathemagic""",Arthur Benjamin,"6,773,659",TED Conference
The transformative power of classical music,Benjamin Zander,"6,645,474",Buddhism
Questioning the universe,Stephen Hawking,"6,592,672",String theory
"Why we love, why we cheat",Helen Fisher,"6,365,256",TED Conference
The astounding athletic power of quadcopters,Raffaello D'Andrea,"6,364,646",Drones
The art of asking,Amanda Palmer,"6,163,273",TED Conference
Teach every child about food,Jamie Oliver,"5,738,599",TED Conference
Try something new for 30 days,Matt Cutts,"5,640,197",TED Conference
I got 99 problems... palsy is just one,Maysoon Zayid,"5,537,841",Comedy
The key to success? Grit,Angela Lee Duckworth,"5,400,333",Business
The secret to desire in a long-term relationship,Esther Perel,"5,293,399",Culture
Fly with the Jetman,Yves Rossy,"5,276,413",Adventure
A robot that flies like a bird,Markus Fischer,"5,237,496",Animals
Bring on the learning revolution!,Ken Robinson,"5,218,239",TED Conference
Beats that defy boxes,Reggie Watts,"5,160,704",TED Conference
3 things I learned while my plane crashed,Ric Elias,"5,125,619",TED Conference
"Choice, happiness and spaghetti sauce",Malcolm Gladwell,"5,104,806",TED Conference
Free or cheap Wii Remote hacks,Johnny Lee,"5,071,916",TED Conference
Conception to birth  visualized,Alexander Tsiaras,"5,055,080",Design
Making peace is a marathon,May El-Khalil,"5,023,936",Culture
The magic of truth and lies (and iPods),Marco Tempest,"4,962,599",Art
Why we have too few women leaders,Sheryl Sandberg,"4,833,423",Business
The game that can give you 10 extra years of life,Jane McGonigal,"4,794,334",Body language
Why do we sleep?,Russell Foster,"4,723,609",Health
Hidden miracles of the natural world,Louie Schwartzberg,"4,666,426",TED Conference
Listening to shame,Bren Brown,"4,550,205",TED Conference
The habits of happiness,Matthieu Ricard,"4,527,861",Buddhism
The history of our world in 18 minutes,David Christian,"4,508,368",Internet
How to tie your shoes,Terry Moore,"4,506,493",TED Conference
All it takes is 10 mindful minutes,Andy Puddicombe,"4,443,159",Buddhism
Nerdcore comedy,Ze Frank,"4,432,018",TED Conference
How PhotoSynth can connect the world's images,Blaise Agera y Arcas,"4,330,161",TED Conference
The radical promise of the multi-touch interface,Jeff Han,"4,276,082",TED Conference
How to start a movement,Derek Sivers,"4,273,418",TED Conference
The psychology of evil,Philip Zimbardo,"4,110,438",TED Conference
How to escape education's death valley,Ken Robinson,"4,005,600",Culture
10 top time-saving tech tips,David Pogue,"3,916,933",TED Conference
How to speak so that people want to listen,Julian Treasure,"3,975,355",Culture
Why people believe weird things,Michael Shermer,"3,860,295",TED Conference
Want to be happy? Be grateful,David Steindl-Rast,"3,844,060",Culture
A promising test for pancreatic cancer ... from a teenager,Jack Andraka,"3,800,562",TED Conference
How to get your ideas to spread,Seth Godin,"3,763,462",TED Conference
Every kid needs a champion,Rita Pierson,"3,770,733",Children
My escape from North Korea,Hyeonseo Lee,"3,715,364",Asia
What adults can learn from kids,Adora Svitak,"3,705,694",TED Conference
Gaming can make a better world,Jane McGonigal,"3,698,488",TED Conference
Militant atheism,Richard Dawkins,"3,675,447",God
The world's English mania,Jay Walker,"3,663,401",TED Conference
Strange answers to the psychopath test,Jon Ronson,"3,646,115",TED Conference
Optical illusions show how we see,Beau Lotto,"3,645,451",Art
Before I die I want to...,Candy Chang,"3,581,027",TED Fellows
How I hacked online dating,Amy Webb,"3,554,264",Algorithm
Let's use video to reinvent education,Salman Khan,"3,539,806",TED Conference
The difference between winning and succeeding,John Wooden,"3,533,452",TED Conference
The hidden power of smiling,Ron Gutman,"3,508,052",TED Conference
"A kinder, gentler philosophy of success",Alain de Botton,"3,506,066",Culture
Are we in control of our own decisions?,Dan Ariely,"3,449,534",Culture
Feats of memory anyone can do,Joshua Foer,"3,443,105",TED Conference
"My creations, a new form of life",Theo Jansen,"3,434,680",TED Conference
What makes us feel good about our work?,Dan Ariely,"3,375,776",TEDx
Why work doesn't happen at work,Jason Fried,"3,367,520",TEDx
